scenario_id,model,prompt_condition,run_id,restaurant_name,pref_ok,aversion_ok,notes,reasoning_score,diversity_cuisines,diversity_neighborhoods
S3,gpt-4.1-mini,C,1,Little India Palace,1,1,"Authentic spicy Indian option in a quiet non-formal setting",3,4,4
S3,gpt-4.1-mini,C,1,Spice Route Grill,1,1,"Authentic spicy Indian/Middle Eastern food with no aversion violations",3,4,4
S3,gpt-4.1-mini,C,1,The Spicy Spoon,1,1,"Spicy-focused Indian/Szechuan option fully aligned with preferences",3,4,4
S4,gpt-4.1-mini,A,1,Harbor Flame Grill,0,1,"Does not meet sports-bar preference; incorrectly recommended",1,5,4
S4,gpt-4.1-mini,A,1,Harborview Sports Bar,1,1,"Valid sports bar meeting explicit preferences",1,5,4
S4,gpt-4.1-mini,A,1,Dockside Pub & Grill,1,1,"Correctly satisfies sports-bar/pub preference",1,5,4
S4,gpt-4.1-mini,A,1,Baltimore Brew & Bites,1,1,"Matches lively tag; acceptable for game watching",1,5,4
S4,gpt-4.1-mini,A,1,Spice Route Grill,0,1,"Not a sports bar or lively venue; incorrect recommendation",1,5,4
S4,gpt-4.1-mini,B,0,Harbor Flame Grill,0,1,"Does not satisfy sports-bar or tag preferences; incorrect recommendation",1,1,1
S5,gpt-4.1-mini,A,1,Golden Lotus,1,1,"Correctly satisfies quiet + wheelchair-accessible preference",1,5,4
S5,gpt-4.1-mini,A,1,Little India Palace,1,1,"Correctly satisfies quiet + wheelchair-accessible preference",1,5,4
S5,gpt-4.1-mini,A,1,Mandarin Harbor,1,1,"Correctly satisfies quiet + wheelchair-accessible preference",1,5,4
S5,gpt-4.1-mini,A,1,La Terraza Tapas,1,1,"Correctly satisfies quiet + wheelchair-accessible preference",1,5,4
S5,gpt-4.1-mini,A,1,Quiet Corner Café,1,1,"Correctly satisfies quiet + wheelchair-accessible preference",1,5,4
S5,gpt-4.1-mini,B,1,Golden Lotus,1,1,"Correctly satisfies quiet + wheelchair-accessible preference and avoids aversions",1,5,4
S5,gpt-4.1-mini,B,1,Little India Palace,1,1,"Correctly meets all quiet and accessibility preferences with no loud/lively tags",1,5,4
S5,gpt-4.1-mini,B,1,Quiet Corner Café,1,1,"Quiet and wheelchair-accessible; matches preferences and avoids aversions",1,5,4
S5,gpt-4.1-mini,B,1,Green Leaf Deli,1,1,"Quiet, accessible, and free of lively/sports tags; valid recommendation",1,5,4
S5,gpt-4.1-mini,B,1,La Terraza Tapas,1,1,"Quiet, accessible, and high-rated while avoiding all aversions",1,5,4
S5,gpt-4.1-mini,C,1,La Terraza Tapas,1,1,"Strong match: quiet, wheelchair-accessible, high-rated, avoids lively/sports tags",1,5,4
S5,gpt-4.1-mini,C,1,Golden Lotus,1,1,"Quiet and accessible; fully satisfies preferences and aversions",1,5,4
S5,gpt-4.1-mini,C,1,Mandarin Harbor,1,1,"Meets quiet + accessibility requirements and respects aversions",1,5,4
S5,gpt-4.1-mini,C,1,Green Leaf Deli,1,1,"Quiet, wheelchair-accessible, and avoids noisy or lively environments",1,5,4
S5,gpt-4.1-mini,C,1,Little India Palace,1,1,"Quiet and accessible with no conflicting tags; valid recommendation",1,5,4
S6,gpt-4.1-mini,A,1,Urban Greens Café,1,1,"Excellent cheap, casual, non-chain option fully matching preferences",1,5,4
S6,gpt-4.1-mini,A,1,Green Leaf Deli,1,1,"Strong non-chain match for cheap and casual preferences",1,5,4
S6,gpt-4.1-mini,A,1,Quiet Corner Café,0,1,"Not casual or fast-casual; incorrect for stated preferences",1,5,4
S6,gpt-4.1-mini,A,1,Neighborhood Noodles,1,0,"Chain restaurant violates aversion to big chains",1,5,4
S6,gpt-4.1-mini,A,1,Portside Tacos,1,0,"Chain restaurant conflicts with strong dislike of chains",1,5,4
S6,gpt-4.1-mini,B,1,Urban Greens Café,1,1,"Fully matches cheap, casual, non-chain criteria",1,5,4
S6,gpt-4.1-mini,B,1,Green Leaf Deli,1,1,"Correctly satisfies cheap, casual, non-chain preferences",1,5,4
S6,gpt-4.1-mini,B,1,Quiet Corner Café,0,1,"Not casual or fast-casual; fails tag preference",1,5,4
S6,gpt-4.1-mini,B,1,Family Table Diner,0,1,"Not casual or fast-casual; incorrect recommendation",1,5,4
S6,gpt-4.1-mini,B,1,Harbor Flame Grill,0,1,"Incorrect: price not $, and tags do not match casual/fast-casual",1,5,4
S6,gpt-4.1-mini,C,1,Urban Greens Café,1,1,"Correct cheap, casual, non-chain choice fully matching preferences and aversions",1,5,4
S6,gpt-4.1-mini,C,1,Green Leaf Deli,1,1,"Correctly satisfies cheap price, casual tag, rating, and non-chain aversion",1,5,4
S6,gpt-4.1-mini,C,1,Quiet Corner Café,0,1,"Not tagged casual or fast-casual, so fails the tag preference despite meeting price and non-chain criteria",1,5,4
S6,gpt-4.1-mini,C,1,Family Table Diner,0,1,"Tagged family/kid-friendly rather than casual or fast-casual, so does not satisfy the tag preference",1,5,4
